ds,yhat,yhat_lower,yhat_upper,sku,run_id,type
2022-11-17,10.877995773176606,4.5454407397432215,16.769817088916778,Viral Spike,20251207_2248,forecast
2022-11-18,10.853058872348356,4.726917220099906,16.729228699874252,Viral Spike,20251207_2248,forecast
2022-11-19,13.335210913808027,6.958545934783857,19.429044376460535,Viral Spike,20251207_2248,forecast
2022-11-20,13.425308534752547,7.054005740548212,19.203663361951413,Viral Spike,20251207_2248,forecast
2022-11-21,10.11541264836277,4.0296543720881,16.231894038245237,Viral Spike,20251207_2248,forecast
2022-11-22,11.375776519434764,5.631729196167436,17.494416438202304,Viral Spike,20251207_2248,forecast
2022-11-23,9.144123148322437,3.4508189277377292,15.098652523177995,Viral Spike,20251207_2248,forecast
2022-11-24,9.722671455821084,3.4716701465517943,15.928907543024547,Viral Spike,20251207_2248,forecast
2022-11-25,48.05271079183172,42.03050456983634,53.54885835387877,Viral Spike,20251207_2248,forecast
2022-11-26,8.993196373878495,2.7667233056685903,15.144892932672926,Viral Spike,20251207_2248,forecast
2022-11-27,14.029219939249858,8.2788713914247,19.950444453093336,Viral Spike,20251207_2248,forecast
2022-11-28,41.830611410837264,35.705927463186654,47.5814154734857,Viral Spike,20251207_2248,forecast
2022-11-29,7.003934416142478,1.212512407827068,13.073507089781385,Viral Spike,20251207_2248,forecast
2022-11-30,12.160539631863353,6.0618631875833815,18.557092699450887,Viral Spike,20251207_2248,forecast
2022-12-01,9.252432406080102,3.090924293310274,15.279206443156953,Viral Spike,20251207_2248,forecast
2022-12-02,8.673205072276485,2.5823099332302344,14.997022302568976,Viral Spike,20251207_2248,forecast
2022-12-03,11.772050351237581,5.694733769471732,17.586398795572634,Viral Spike,20251207_2248,forecast
2022-12-04,14.15125130502678,8.487389038737412,20.175440957294654,Viral Spike,20251207_2248,forecast
2022-12-05,11.258980204819203,5.313215004083274,17.3826474193447,Viral Spike,20251207_2248,forecast
2022-12-06,12.295765962263452,6.146779619754232,18.79259547332231,Viral Spike,20251207_2248,forecast
2022-12-07,7.991354828857365,2.198415570946582,13.991906113225879,Viral Spike,20251207_2248,forecast
2022-12-08,7.606222861394681,1.4546450601896368,13.63167049469554,Viral Spike,20251207_2248,forecast
2022-12-09,7.8871506343133975,1.4549316577107292,13.546182425246549,Viral Spike,20251207_2248,forecast
2022-12-10,10.851334950728956,4.528264003510458,16.94348148919277,Viral Spike,20251207_2248,forecast
2022-12-11,11.506574386876704,5.047218067592689,17.39895730503398,Viral Spike,20251207_2248,forecast
2022-12-12,8.81875963697058,2.4176862354101374,14.64885715936717,Viral Spike,20251207_2248,forecast
2022-12-13,9.506153895393423,3.2333695595654817,15.522622854939998,Viral Spike,20251207_2248,forecast
2022-12-14,10.56596469012497,4.598338663695597,16.205297250937782,Viral Spike,20251207_2248,forecast
2022-12-15,11.328766890162907,5.178613324569017,17.646619980540585,Viral Spike,20251207_2248,forecast
2022-12-16,12.723393280424908,6.529439039855221,18.854866192321133,Viral Spike,20251207_2248,forecast
2022-12-17,15.420555280819942,9.290843707200063,21.849031869020756,Viral Spike,20251207_2248,forecast
2022-12-18,12.854116466801228,6.549323672242422,18.544834428430008,Viral Spike,20251207_2248,forecast
2022-12-19,10.940327326419013,4.617734057262394,16.991055989543316,Viral Spike,20251207_2248,forecast
2022-12-20,13.061005209329158,6.897155449146706,18.742540303681047,Viral Spike,20251207_2248,forecast
2022-12-21,10.74827352339639,4.58313063558647,16.99577231397988,Viral Spike,20251207_2248,forecast
2022-12-22,11.713670899871936,5.5496068135492225,18.049166552303838,Viral Spike,20251207_2248,forecast
2022-12-23,13.97510181416435,7.813488686616196,20.036783200136664,Viral Spike,20251207_2248,forecast
2022-12-24,13.327961736573291,7.30665879473527,19.346702111343525,Viral Spike,20251207_2248,forecast
